,subject,session,sent_complexities,avg_sent_complex,sd_sent_complex
33,25,10,"[8, 6, 5, 7, 7, 13, 7, 8, 5, 6, 7, 6, 5, 12, 6, 6, 6, 8, 7, 5, 11, 7, 6, 7, 7, 9, 8, 10, 15, 10, 9, 6, 5, 5, 10, 8, 7, 9, 5, 6, 16, 9, 6, 5, 4, 8, 6, 4, 5, 6, 6, 5, 6, 8, 6, 8, 5, 8, 6, 8, 6, 6, 8, 6, 6, 10, 6, 6, 6, 8, 8, 6, 5, 7, 6, 7, 6, 8, 8, 6, 8, 4, 4, 10, 5, 8, 8, 6, 9, 5]",7.0777777777777775,2.1716751229192117
34,25,11,"[9, 6, 6, 6, 6, 7, 6, 4, 6, 7, 7, 6, 8, 5, 8, 5, 9, 5, 6, 6, 6, 8, 5, 11, 4, 6, 6, 6, 4, 6, 5, 14, 4, 7, 7, 11, 12, 7, 7, 11, 12, 5, 7, 7, 4, 12, 11, 4, 5, 8, 10, 4, 7, 5, 5, 7, 5]",6.894736842105263,2.3891877099139913
35,25,12,"[6, 6, 6, 9, 4, 8, 8, 7, 5, 6, 9, 8, 8, 8, 8, 12, 9, 8, 8, 6, 6, 5, 5, 9, 20, 7, 10, 5, 9, 5, 12, 5, 13, 12, 10, 6, 4, 14, 8, 6, 5, 5, 5, 5, 6, 6, 6, 9, 6, 6, 5, 9, 7, 7, 7, 5, 4, 9, 6, 7, 12, 5, 6, 5, 4, 8, 4, 7, 7, 9, 9, 5, 7, 7, 4, 6, 7, 7, 7, 6, 4, 5, 7, 5, 5, 9, 5, 7, 5, 6]",7.055555555555555,2.5532598384162033
36,27,1,"[11, 8, 8, 6, 7, 8, 5, 6, 7, 9, 9, 8, 4, 8, 8, 5, 8, 6, 10, 9, 7, 9, 9, 7, 6, 6, 6, 9, 5, 7, 9, 9, 8, 6, 4, 9, 7, 15, 9, 7, 7, 7, 9, 7, 8, 9, 8, 9, 5, 9, 6, 5, 6, 9, 10, 4, 11, 6, 6, 9, 9, 6, 6, 16, 6, 5, 8, 6, 8, 9, 6, 6, 5, 8, 6, 9, 8, 6, 7, 4, 10, 8, 5, 10, 17, 12, 5, 5, 8, 6]",7.6,2.341889076033373
37,27,2,"[5, 8, 4, 6, 10, 7, 4, 5, 7, 6, 4, 4, 4, 4, 9, 6, 5, 5, 6, 6, 4, 5, 6, 7, 6, 5, 6, 6, 5, 7, 4, 8, 5, 5, 10, 5, 6, 6, 5, 5, 6, 6, 5, 4, 7, 5, 5, 5, 5, 6, 11, 8, 4, 6, 6, 5, 6, 4, 5, 6, 5, 6, 5, 8, 4, 6, 7, 7, 7, 6, 8, 5, 5, 7, 6, 7, 8, 8, 5, 6, 8, 5, 7, 10, 5, 5, 4, 7, 7, 7]",5.966666666666667,1.5162087220725544
38,27,3,"[4, 7, 7, 6, 7, 6, 6, 6, 4, 9, 7, 6, 5, 5, 4, 6, 5, 6, 6, 6, 5, 6, 6, 8, 4, 6, 8, 8, 6, 6, 5, 6, 5, 10, 6, 7, 5, 5, 6, 7, 6, 6, 5, 5, 6, 6, 8, 11, 10, 9, 8, 5, 7, 10, 5, 10, 10, 5, 8, 8, 6, 5, 8, 12, 9, 7, 6, 6, 4, 7, 5, 9, 4, 7, 5, 6, 7, 7, 4, 6, 6, 7, 5, 7, 9, 8, 6, 6, 8, 6]",6.544444444444444,1.6941803072814434
39,27,4,"[7, 8, 10, 5, 8, 5, 8, 6, 6, 6, 8, 5, 7, 5, 11, 7, 6, 5, 6, 5, 5, 6, 6, 5, 5, 5, 12, 5, 8, 12, 6, 5, 5, 5, 9, 5, 7, 5, 5, 12, 4, 5, 6, 5, 6, 8, 7, 5, 5, 9, 6, 7, 5, 5, 5, 5, 7, 5, 5, 5, 9, 4, 6, 6, 5, 7, 9, 5, 5, 4, 5, 5, 10, 9, 5, 5, 9, 8, 5, 7, 14, 6, 9, 6, 5, 5, 7, 9, 5, 7]",6.477777777777778,2.0288353406588158
40,27,5,"[5, 6, 10, 5, 6, 6, 5, 8, 5, 6, 6, 5, 8, 12, 14, 4, 7, 7, 6, 6, 6, 10, 5, 6, 8, 8, 5, 5, 5, 5, 6, 7, 10, 5, 5, 6, 5, 4, 9, 7, 6, 7, 6, 5, 5, 8, 5, 9, 4, 6, 5, 4, 5, 6, 6, 6, 9, 12, 12, 8, 4, 6, 6, 6, 6, 4, 7, 5, 5, 8, 6, 16, 6, 7, 5, 12, 5, 8, 5, 8, 4, 7, 4, 4, 5, 6, 5, 8, 5, 8]",6.544444444444444,2.2860014149461505
41,27,6,"[6, 5, 7, 8, 10, 6, 8, 5, 10, 10, 5, 10, 17, 8, 15, 5, 12, 5, 11, 11, 9, 6, 5, 6, 5, 6, 6, 7, 6, 9, 7, 5, 6, 5, 4, 6, 6, 5, 5, 7, 4, 4, 4, 5, 5, 5, 11, 5, 11, 7, 7, 8, 6, 11, 6, 5, 10, 9, 12, 4, 8, 4, 7, 9, 6, 6, 5, 4, 11, 7, 6, 7, 6, 5, 7, 10, 10, 5, 13, 4, 9, 7, 6, 12, 7, 6, 6, 5, 9, 11]",7.2444444444444445,2.676278971968817
42,27,7,"[5, 8, 4, 7, 5, 5, 6, 6, 4, 6, 9, 4, 11, 9, 7, 7, 11, 7, 7, 9, 4, 10, 4, 11, 4, 6, 5, 7, 5, 6, 5, 4, 8, 8, 4, 10, 4, 9, 10, 6, 6, 8, 6, 9, 6, 11, 5, 17, 6, 5, 7, 5, 6, 8, 5, 6, 7, 6, 7, 5, 5, 6, 10, 5, 11, 4, 7, 5, 7, 12, 5, 5, 6, 7, 9, 10, 7, 10, 6, 6, 6, 5, 8, 6, 6, 5, 6, 6, 5, 9]",6.811111111111111,2.3040758303707727
